# SENSOR_TYPE: 0 - lidar; 1 - radar
# NIS: normalized innovation squared floating point value

SENSOR_TYPE NIS
1 74.7619
0 0.221166
1 1.82476
0 0.16769
1 7.7654
0 0.254847
1 6.41613
0 0.00953579
1 0.468786
0 1.22065
1 1.25053
0 2.04407
1 4.18818
0 0.393676
1 2.23423
0 13.3437
1 2.34602
0 2.24813
1 1.65207
0 1.46526
1 4.01376
0 4.20927
1 1.01854
0 0.395228
1 4.02125
0 3.87518
1 3.33571
0 0.589271
1 2.96186
0 0.786746
1 6.56879
0 1.20288
1 6.33582
0 0.949659
1 4.4508
0 3.4063
1 4.84009
0 1.62223
1 4.81429
0 1.5312
1 1.44033
0 1.41424
1 1.27919
0 0.637558
1 1.1316
0 0.733942
1 0.866311
0 3.93745
1 3.56149
0 3.04141
1 11.6234
0 0.640116
1 0.397188
0 0.719678
1 1.3485
0 2.31125
1 4.0358
0 1.53677
1 2.5777
0 1.01285
1 0.841554
0 0.185922
1 1.76708
0 0.636631
1 0.632175
0 0.491615
1 5.1621
0 0.805099
1 1.91497
0 0.286215
1 3.70277
0 1.96074
1 1.81526
0 0.540784
1 0.645999
0 0.476441
1 0.401816
0 3.14817
1 0.31089
0 4.68893
1 5.0588
0 0.60841
1 0.381921
0 2.11182
1 2.55558
0 6.45104
1 1.00156
0 5.12788
1 1.1732
0 2.607
1 3.32407
0 0.421692
1 6.48932
0 0.147623
1 3.41413
0 1.12463
1 4.62545
0 0.139125
1 11.7561
0 4.21126
1 3.50463
0 0.663431
1 3.86618
0 1.58923
1 2.26194
0 1.5932
1 1.37247
0 0.927121
1 1.10149
0 0.138729
1 1.5177
0 1.23955
1 3.4731
0 2.10771
1 8.3544
0 3.93902
1 1.49729
0 0.0787292
1 1.83569
0 1.37409
1 0.36266
0 0.0169979
1 6.47044
0 1.20497
1 6.0948
0 3.76047
1 2.67887
0 0.931132
1 1.85793
0 1.4544
1 6.88331
0 0.253411
1 1.75964
0 0.597656
1 3.0957
0 2.70671
1 3.13132
0 0.684566
1 10.0401
0 0.743697
1 3.39039
0 1.39667
1 5.86587
0 1.89495
1 2.01869
0 0.725664
1 1.27386
0 0.80577
1 0.409791
0 2.13144
1 2.60111
0 0.251991
1 1.69147
0 1.55113
1 2.7385
0 0.251912
1 0.985822
0 1.88219
1 1.14189
0 0.521073
1 4.27424
0 0.524174
1 5.41038
0 3.49713
1 1.0007
0 1.52457
1 2.56579
0 1.21069
1 1.54616
0 1.94437
1 4.44125
0 2.72864
1 0.0684511
0 0.168603
1 3.43537
0 4.13717
1 0.246241
0 1.3328
1 0.420914
0 0.840861
1 2.66885
0 1.69711
1 2.24729
0 0.67038
1 1.63413
0 1.938
1 4.35048
0 0.42631
1 1.55237
0 0.988491
1 1.38026
0 2.15497
1 7.10196
0 2.66077
1 3.29851
0 1.31505
1 2.54212
0 5.99406
1 3.44941
0 0.13465
1 1.82113
0 0.496071
1 5.13067
0 2.4073
1 1.16009
0 2.04008
1 1.9452
0 1.21871
1 1.01521
0 3.54294
1 2.30764
0 0.166229
1 1.70005
0 1.56258
1 3.81187
0 2.84693
1 1.44878
0 2.1631
1 0.758507
0 2.52247
1 3.60971
0 0.539772
1 3.89186
0 0.412897
1 3.07487
0 4.97958
1 3.4149
0 3.0709
1 0.955916
0 1.54426
1 1.6253
0 1.71397
1 0.431445
0 0.58126
1 2.78963
0 4.7365
1 1.60919
0 0.436792
1 3.45181
0 0.350635
1 5.1666
0 1.00344
1 6.60648
0 0.69024
1 1.2596
0 2.14092
1 4.5016
0 0.406361
1 3.28194
0 1.62151
1 2.65407
0 0.668472
1 0.105828
0 2.49398
1 2.7272
0 3.34758
1 0.939365
0 0.377293
1 4.18572
0 0.0165839
1 1.17199
0 1.50461
1 0.154095
0 0.969599
1 4.34993
0 2.11784
1 1.18413
0 4.2266
1 0.790915
0 3.67739
1 5.49225
0 1.32104
1 5.92776
0 1.50141
1 4.1046
0 3.30419
1 5.5488
0 1.00093
1 2.52773
0 1.32039
1 4.63967
0 0.361849
1 3.25337
0 0.666305
1 1.39238
0 2.1283
1 0.161363
0 1.46128
1 4.39683
0 5.41657
1 0.53433
0 0.39057
1 0.341686
0 1.1342
1 2.59818
0 0.250698
1 4.67406
0 1.6284
1 0.524638
0 0.346168
1 7.64132
0 6.85224
1 0.970747
0 0.374367
1 6.51039
0 0.682514
1 1.22518
0 2.91663
1 2.22179
0 3.15658
1 1.55771
0 3.75599
1 2.36301
0 4.4178
1 3.09132
0 1.73787
1 2.08629
0 3.19073
1 2.93398
0 3.21929
1 2.28
0 3.11937
1 5.19902
0 0.276288
1 2.29809
0 0.316602
1 0.287827
0 2.16949
1 4.13079
0 4.69829
1 1.87196
0 1.85211
1 2.30521
0 0.666316
1 5.47061
0 1.36767
1 7.69446
0 0.457082
1 1.65215
0 0.25627
1 0.762011
0 2.35363
1 1.71861
0 0.249234
1 4.05841
0 3.01163
1 1.21856
0 1.38165
1 5.0351
0 15.3314
1 1.51771
0 0.793201
1 2.24744
0 1.8954
1 1.7651
0 2.90807
1 6.99823
0 0.852467
1 1.81074
0 0.962688
1 1.26835
0 4.39341
1 3.89221
0 1.71214
1 1.49369
0 0.894292
1 0.819199
0 2.59171
1 1.95531
0 3.08563
1 3.50515
0 6.12239
1 0.387327
0 2.19377
1 1.89422
0 0.493971
1 1.23166
0 0.432688
1 6.66786
0 0.831985
1 0.31963
0 0.374057
1 10.7247
0 2.05605
1 3.60321
0 4.66501
1 0.745962
0 1.49258
1 1.27397
0 5.62401
1 0.853894
0 1.37144
1 1.9667
0 1.1529
1 1.78964
0 0.151459
1 5.13674
0 0.39425
1 2.20667
0 2.5256
1 1.75168
0 1.89653
1 1.71945
0 3.44909
1 7.55026
0 0.0984366
1 8.25818
0 0.161961
1 0.157285
0 0.641275
1 1.04202
0 0.159252
1 2.6393
0 1.91957
1 2.19137
0 0.0848996
1 1.05534
0 3.73059
1 0.590745
0 1.98754
1 8.91254
0 0.453009
1 2.28558
0 0.937006
1 0.984124
0 1.24546
1 3.28008
0 0.0510254
1 4.61887
0 0.122181
1 2.01363
0 4.27755
1 5.57379
0 1.1596
1 1.44201
0 0.287511
1 2.61822
0 2.18877
1 5.94968
0 0.210037
1 1.68263
0 4.1347
1 7.01925
0 3.29219
1 4.09821
0 1.54964
1 2.34058
0 0.590843
1 2.07906
0 0.507942
1 4.2827
0 5.9002
1 1.64262
0 0.910574
1 5.64873
0 4.44109
1 3.00114
0 2.34821
1 0.582595
0 3.10838
1 0.159565
0 2.25986
1 0.745517
0 0.0537587
1 0.28618
0 0.743915
1 8.64322
0 0.730656
1 6.1845
0 1.71282
1 0.709469
0 9.72303
1 2.53937
0 0.356179
1 0.319969
0 4.55123
1 1.81677
0 1.32232
1 0.932171
0 2.20456
1 2.91364
0 0.571469
1 9.49012
0 3.08822
1 0.114402
0 0.788961
1 6.66621
0 2.06747
1 4.00319
0 0.671815
1 2.77578
0 0.978074
1 6.52914
0 6.56044
1 1.55049
0 4.07379
1 2.32115
0 0.439649
